PD,ROI,FD,,
0.128252,2,0.03099986,,
0.124081,2,0.062,,
0.122126,2,0.0929999,,
0.113038,2,0.12499996,,
0.107989,2,0.15599986,,
0.112707,2,0.187,,
0.112844,2,0.23399993,,
0.114142,2,0.26500007,,
0.12067,2,0.29599997,,
0.11916,2,0.32800003,,
0.124252,2,0.35899993,,
0.123198,2,0.39000007,,
0.123802,2,0.42099997,,
0.123493,2,0.45300003,,
0.124344,2,0.49999996,,
0.133045,2,0.53099986,,
0.121452,2,0.562,,
0.1171,2,0.5929999,,
0.11865,2,0.62499996,,
0.116891,2,0.67099997,,
0.122098,2,0.7179999,,
0.119969,2,0.74999996,,
0.123901,2,0.78099986,,
0.124521,2,0.812,,
0.1201,2,0.8429999,,
0.125951,2,0.87499996,,
0.12195,2,0.90599986,,
0.126391,2,0.95300003,,
0.12773,2,0.98399993,,
0.128626,2,1.01500007,,
0.12664,2,1.04599997,,
0.132865,2,1.07800003,,
0.132381,2,1.10899993,,
0.13388,2,1.14000007,,
0.1337,2,1.17099997,,
0.133957,2,1.2179999,,
0.132739,2,1.24999996,,
0.136707,2,1.28099986,,
0.13555,2,1.312,,
0.133753,2,1.3429999,,
0.128219,2,1.37499996,,
0.129505,2,1.40599986,,
0.129213,2,1.45300003,,
0.131327,2,1.48399993,,
0.129729,2,1.51500007,,
0.130712,2,1.54599997,,
0.136492,2,1.57800003,,
0.136388,2,1.60899993,,
0.138232,2,1.64000007,,
0.136787,2,1.687,,
0.13778,1,0.03099986,,
0.130273,1,0.062,,
0.133695,1,0.0929999,,
0.134293,1,0.12499996,,
0.132298,1,0.15599986,,
0.129008,2,0.03099986,,
0.128834,2,0.062,,
0.133323,2,0.0929999,,
0.131233,2,0.12499996,,
0.132625,2,0.15599986,,
0.133293,2,0.187,,
0.129407,2,0.23399993,,
0.132373,2,0.26500007,,
0.132317,2,0.29599997,,
0.135513,2,0.32800003,,
0.132548,2,0.35899993,,
0.137431,2,0.39000007,,
0.136268,2,0.42099997,,
0.136731,2,0.45300003,,
0.136694,2,0.49999996,,
0.135479,2,0.53099986,,
0.133881,2,0.562,,
0.135231,2,0.5929999,,
0.135481,2,0.62499996,,
0.13823,2,0.67099997,,
0.139375,2,0.7179999,,
0.139022,2,0.74999996,,
0.14135,2,0.78099986,,
0.140432,2,0.812,,
0.143259,2,0.8429999,,
0.144379,2,0.87499996,,
0.141549,2,0.90599986,,
0.142605,2,0.95300003,,
0.141141,2,0.03099986,,
0.136376,2,0.062,,
0.13407,2,0.0929999,,
0.131463,2,0.12499996,,
0.128076,2,0.15599986,,
0.125104,2,0.187,,
0.128275,2,0.23399993,,
0.128978,2,0.26500007,,
0.130263,2,0.29599997,,
0.131146,2,0.32800003,,
0.130946,2,0.35899993,,
0.132292,2,0.39000007,,
0.133084,2,0.42099997,,
0.13602,2,0.45300003,,
0.135123,2,0.49999996,,
0.133637,2,0.53099986,,
0.135338,2,0.562,,
0.135775,2,0.5929999,,
0.134265,2,0.62499996,,
0.134109,2,0.67099997,,
0.132135,2,0.7179999,,
0.127285,2,0.74999996,,
0.127021,2,0.78099986,,
0.126504,2,0.812,,
